net,sta,lat,lon,elev,name,t0,t1
Z6,10,47.585165,-122.289932,58.0,Converted from UTM Zone 10N,2019-07-13T01:12:19,2019-08-10T02:27:24
Z6,100,47.58394,-122.292595,61.0,Converted from UTM Zone 10N,2019-07-13T01:15:49,2019-08-10T03:26:46
Z6,11,47.583488,-122.289343,38.0,Converted from UTM Zone 10N,2019-07-13T01:42:44,2019-08-10T03:08:27
Z6,12,47.580996,-122.289417,38.0,Converted from UTM Zone 10N,2019-07-13T02:09:44,2019-08-10T02:55:47
Z6,13,47.615969,-122.287639,91.0,Converted from UTM Zone 10N,2019-07-13T16:00:20,2019-08-10T17:40:32
Z6,14,47.61494,-122.285657,69.0,Converted from UTM Zone 10N,2019-07-13T16:50:02,2019-08-10T17:51:12
Z6,15,47.612696,-122.286659,81.0,Converted from UTM Zone 10N,2019-07-13T17:22:30,2019-08-10T18:00:53
Z6,16,47.608726,-122.287684,94.0,Converted from UTM Zone 10N,2019-07-13T18:35:57,2019-08-10T18:24:56
Z6,17,47.607086,-122.28877,99.0,Converted from UTM Zone 10N,2019-07-13T19:21:15,2019-08-10T18:37:22
Z6,18,47.605374,-122.288381,67.0,Converted from UTM Zone 10N,2019-07-13T19:56:23,2019-08-10T18:49:14
Z6,19,47.603766,-122.287405,21.0,Converted from UTM Zone 10N,2019-07-13T20:45:02,2019-08-10T20:32:12
Z6,20,47.601677,-122.287181,30.0,Converted from UTM Zone 10N,2019-07-13T21:37:31,2019-08-10T20:43:06
Z6,21,47.599606,-122.28834,53.0,Converted from UTM Zone 10N,2019-07-13T22:32:57,2019-08-10T20:54:57
Z6,22,47.597054,-122.287483,9.0,Converted from UTM Zone 10N,2019-07-13T23:16:01,2019-08-10T21:02:29
Z6,23,47.596431,-122.288569,18.0,Converted from UTM Zone 10N,2019-07-14T00:23:58,2019-08-10T21:13:06
Z6,24,47.594489,-122.290178,34.0,Converted from UTM Zone 10N,2019-07-14T01:08:41,2019-08-10T21:24:25
Z6,25,47.592581,-122.290217,46.0,Converted from UTM Zone 10N,2019-07-14T02:00:25,2019-08-10T21:32:22
Z6,26,47.589584,-122.290072,61.0,Converted from UTM Zone 10N,2019-07-14T17:21:21,2019-08-10T19:03:36
